molregno	chembl_id	smiles
1981	CHEMBL7027	O=C(Oc1ccc2[nH]c(cc2c1)C(=O)c3cc4ccccc4[nH]3)C(c5ccccc5)c6ccccc6
2464	CHEMBL7552	OC(=O)[C@H](Cc1ccc(cc1)C#N)NC(=O)c2ccccc2Br
2515	CHEMBL7605	C[C@@H](NC(=O)c1ccccc1Br)C(=O)O
4855	CHEMBL9164	CCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5616	CHEMBL9455	COc1ccc(CCCN2CCC(COC(c3ccc(Cl)cc3)c4ccc(Cl)cc4)CC2)cc1
5639	CHEMBL9557	COc1ccc(CCCN2CCC(CO)CC2)cc1
6274	CHEMBL9702	CC(C)(C)C(=O)Oc1ccccc1C(=O)c2ccccc2
6919	CHEMBL275249	COC(=O)c1cccc(c1)N2CC(=C(C(=O)Nc3ccc(OCCCCCCCC(=O)O)cc3)C2=O)O
7054	CHEMBL10356	OC(=O)CCCCCCCOc1ccc(NC(=O)C2=C(O)CN(C2=O)c3ccc4ccccc4c3)cc1
7137	CHEMBL10122	COc1ccc(cc1)c2cccc3c(O)c(C(=O)Nc4ccc(OCCCCCCCC(=O)O)cc4)c(O)nc23
7398	CHEMBL10740	CCCCCC(O)\C=C\CC1CCc2c(C1)cccc2OCC(=O)O
8641	CHEMBL273979	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(=O)NCCCCCCCC(=O)N[C@@H](Cc6ccccc6)C(=O)O
8710	CHEMBL274441	Cc1cc(C)cc(c1)c2[nH]c3ccccc3c2CCNCc4ccccn4
8755	CHEMBL269636	Cc1cc(C)cc(c1)c2[nH]c3ccccc3c2CCNCCc4ccccn4
8978	CHEMBL11622	CC(=O)NC1=NC(=O)N(COCCOC(=O)Oc2ccccc2)C=C1
10174	CHEMBL274793	CC(C)C[C@@H](CO)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C
11415	CHEMBL13075	Cc1ccccc1CCC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN3CC[C@H](C[C@H]3C(=O)NC(C)(C)C)OCc4ccncc4
11729	CHEMBL12941	CN(C)Cc1oc(CSCCNC(=O)CSCc2oc(CN(C)C)cc2)cc1
11943	CHEMBL13690	CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCCCc3ccccc3
11997	CHEMBL13222	CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)NCC(=O)NCCCc2ccccc2
12230	CHEMBL13519	Cc1ccccc1CNC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2
12253	CHEMBL275062	CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)Cc2cccc3ccccc23
12257	CHEMBL273701	CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC2CCCCC2)C(=O)N[C@@H](CC)C(=O)C(=O)N3CCCC3
12264	CHEMBL275116	CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC2CCCCC2)C(=O)NC3(CC3)C(=O)C(=O)NCC(=O)O
12340	CHEMBL276713	Clc1cc(Cl)cc(c1)C(=O)Nc2cccc(NC(=O)NCc3ccccc3)c2
12469	CHEMBL13604	CS(=O)(=O)c1ccc(Cl)cc1C(=O)Nc2cccc(NC(=O)c3cc(Cl)ccc3S(=O)(=O)C)c2
12602	CHEMBL417985	Nc1nc(N)c(CCCCc2ccc(cc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)n1
12613	CHEMBL268290	CCc1c2CN3C(=O)C4=C(C=C3c2nc5cnc(cc15)C(=O)NCCN(C)C)[C@@](O)(CC)C(=O)OC4
14613	CHEMBL14262	Cc1ccc(CSC2=C(O)C=C(OC2=O)c3ccccc3)cc1
14659	CHEMBL14855	OC(=O)c1cccc(CSC2=C(O)C=C(OC2=O)c3ccccc3)c1
14826	CHEMBL14588	CCCCCCCCCCCCOCC(CN)OCCCCCCCCCCCC
14922	CHEMBL15154	CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C(C)OC
15553	CHEMBL415982	CCCC1Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C(C)C
15603	CHEMBL15402	CCN(Cc1ccccc1)Cc2ccccc2C(=O)N(CC)CC
15753	CHEMBL15914	CCN(CC)C(=O)c1c(C)nc2ccccc2c1c3ccccc3
15892	CHEMBL15741	CCN(Cc1ccccc1)Cc2nc3ccccc3c(c4ccccc4)c2C(=O)N(C)c5ccccc5
15912	CHEMBL15915	Cc1nn(c2ccccc2)c3c(N)c4CCCCc4nc13
16865	CHEMBL15989	CCCN(CCC)C1Cc2cc(O)c(OC)cc2C1
18401	CHEMBL16893	CCCCCCCCC#CC\C=C/C=C/Sc1cccc(c1)C(=O)OC
18709	CHEMBL418724	NC(=N)NCCC[C@@H]1NC(=O)N(CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)C1=O
19296	CHEMBL17515	NC(=N)c1ccc(CNC(=O)C2CCCC=C2C(=O)Nc3ccccc3)cc1
19403	CHEMBL17507	CC(CC\C=C(/C)\CCC=C(C)C)N1CCC(O)CC1
20898	CHEMBL18382	Cc1cc(F)ccc1c2nc(N(C(=O)N)c3ccc(F)cc3)c4ncn(C)c4n2
20989	CHEMBL280280	Cc1cc(F)ccc1c2nc(N(C(=O)N)c3ccc(Cl)cc3)c4ncn(C)c4n2
21910	CHEMBL279344	CC(C)N(CCO)C(=O)N1C[C@H](N)[C@@H](C1)C(=O)O
21913	CHEMBL18910	CC(C)N(CCCC(=O)O)C(=O)N1C[C@H](N)[C@@H](C1)C(=O)O
21914	CHEMBL280061	CC(C)N(CCCCCO)C(=O)N1C[C@H](N)[C@@H](C1)C(=O)O
23094	CHEMBL19749	CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)C(=O)c2ccccc2)C(C)C
23314	CHEMBL19918	CCCC\N=C/1\C(\C(=C1O)O)=N\Cc2ccc(cc2)C#N
23778	CHEMBL20158	O=C1C(=O)C(=C1NCc2ccc(cc2)C#N)NC3CCCC3
23795	CHEMBL283127	COc1ccc(C\N=C/2\C(\C(=C2O)O)=N\C(C)(C)C)cc1
23890	CHEMBL20041	CC(C)(C)\N=C/1\C(\C(=C1O)O)=N\Cc2ccc(Cl)cc2
23897	CHEMBL20265	CC(C)(C)\N=C/1\C(\C(=C1O)O)=N\Cc2ccc(F)cc2Cl
23923	CHEMBL19516	CCc1cc(ccc1C\N=C/2\C(\C(=C2O)O)=N\[C@H](C)C(C)(C)C)C#N
24848	CHEMBL280674	CC1(C)COC(=N1)c2cn3c4ccccc4sc3n2
25052	CHEMBL21139	OC1CCCCC1N2CCN(CC2)C(=O)c3ccccc3
26390	CHEMBL22109	CNc1nc2ccnc(c3cccc(c3)C(F)(F)F)n2n1
26720	CHEMBL282057	CC(=O)N1CCc2ccc(cc12)N(C3CCN(Cc4ccccc4)CC3)C(=O)\C=C\C5N=CC=N5
26786	CHEMBL21409	C\C(=C/CC\C=C(/C)\CC\C=C(/C)\CCC1OC1(C)C)\CC\C=C(/C)\CCC2OC2(C)C
28894	CHEMBL281368	OC(=O)CCc1ccccc1C(=O)N2C(Cc3ccccc23)c4occ(n4)C(=O)NCCc5ccc(Cl)cc5
31327	CHEMBL24489	OC(=O)[C@H](Cc1ccccc1)N(Cc2ccccc2)C(=O)c3ccc(Cl)cc3Cl
31508	CHEMBL416014	COc1cc2ccc(cc2cc1OC)S(=O)(=O)NC(CCCN=C(N)N)C(=O)N3Cc4ccccc4C3C(=O)O
31546	CHEMBL25950	COc1cc(NC(=O)P(=O)(O)O)cc(OC)c1OC
31615	CHEMBL24702	CCCCN(CC(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)c1cccc2CCCCc12
31818	CHEMBL24754	Cc1ccc(cc1)c2ccc(CN3CCCC[C@H](NC(=O)c4ccc(OP(=O)(O)O)cc4)C3=O)cc2
31837	CHEMBL285443	OC(c1ccc(cc1)c2ccccc2)P(=O)(O)O
31865	CHEMBL24654	COCCN(CCC(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)c1ccc2cc(OC)c(OC)cc2c1
31934	CHEMBL281316	OP(=O)(O)Oc1ccc(cc1)C(=O)N[C@H]2CCCCN(Cc3cc(cc(c3)C(F)(F)F)C(F)(F)F)C2=O
32121	CHEMBL24555	CCc1ccc(NC(=O)P(=O)(O)OCc2ccccc2)cc1
32178	CHEMBL24335	CCCC[C@@]12Cc3ccccc3C[C@@](C)(N1)c4ccccc24
32186	CHEMBL25831	COc1cc2ccc(cc2cc1OC)S(=O)(=O)NC(CCCN=C(N)N)C(=O)N(CC(=O)O)C3CCCCC3
32754	CHEMBL25137	CCCCCc1c(nc(C(C)C)c(CO)c1c2cccc(F)c2)C(C)C
33354	CHEMBL25248	O=C1c2ccccc2C(=O)C1(Sc3ccccc3)c4ccccc4
33621	CHEMBL25629	C[C@@]1(CO)[C@@H](O)CC[C@@]2(C)C1C[C@H](O)[C@@]3(C)OC4=C(C(=O)OC(=C4)c5cccnc5)C(=O)C23
33628	CHEMBL277665	C[C@@]1(CO)[C@@H](O)CC[C@@]2(C)C1C[C@H](O)[C@@]3(C)OC4=C(C(=O)OC(=C4)c5ccccc5)C(=O)C23
34066	CHEMBL282697	CCCNC(=O)C(=O)Nc1ccc(c(OC)c1)c2ocnc2
34117	CHEMBL417115	Nc1nc(C2CCN(CC2)C(=O)C3CCCCC3)c4ccccc4n1
34131	CHEMBL281761	CCCCc1nc(Cl)c(CC(=O)OC)n1Cc2ccc(NC(=O)c3cc4ccccc4cc3C(=O)O)cc2
34138	CHEMBL24927	C=CCN1CCN(CC1)C(c2ccccc2)c3ccc(cc3)c4cccs4
34229	CHEMBL280528	CCCCc1nc(Cl)c(CC(=O)OC)n1Cc2ccc(NCc3ccccc3)cc2
34657	CHEMBL431697	CCCCc1nc(Cl)c(COC)n1Cc2ccc(cc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)O
34710	CHEMBL281514	CCCCCCCc1nccn1Cc2ccc(NC(=O)c3ccccc3C(=O)O)cc2
34719	CHEMBL283783	CC(C)C1(O)[C@@H](OC(=O)c2ccc[nH]2)C3(O)[C@@]4(C)CC5(O)OC6([C@H](O)C(=C)CCC46O)C3(O)C15C
34867	CHEMBL25347	CNC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)C(CC(C)C)CP(=O)(O)Cc2ccc(Oc3ccccc3)cc2
34890	CHEMBL280919	CNC(=O)[C@@H](Cc1ccc(OC)cc1)NC(=O)C(CC(C)C)CP(=O)(O)Cc2ccc(cc2)C(=O)NCc3ccccc3
35078	CHEMBL284175	OC(=O)c1ccccc1C(=O)Nc2ccc(Cn3ccnc3CCc4ccccc4)cc2
35541	CHEMBL283445	CCCCc1nc(Cl)c(CO)n1Cc2ccc(\C=C\c3ccccc3C(=O)O)cc2
35785	CHEMBL27059	CCCCc1nc(Cl)c(COC(=O)C)n1Cc2ccc(cc2)c3cccc(c3)C(=O)O
35860	CHEMBL281938	Clc1ccc(CSc2ncnc3c(C#N)c4CCCCCn4c23)cc1
36175	CHEMBL286960	CCCCCC\N=C(/S)\N\N=C\c1cc2CCc3c(OC)c4C(=O)c5c(O)c(C)c(O)cc5C(=O)c4c(O)c3c2c(O)c1C(=O)O
36446	CHEMBL26480	COc1c2CCc3cc(\C=N\N=C(/S)\Oc4ccccc4)c(C(=O)O)c(O)c3c2c(O)c5C(=O)c6cc(O)c(C)c(O)c6C(=O)c15
37511	CHEMBL27231	CO[C@H]1CCOP(=O)(N1)N(CCCl)CCCl
37512	CHEMBL285814	Cc1noc(NS(=O)(=O)c2cccc3c(Cl)cccc23)c1C
38052	CHEMBL282635	CN(C)[C@H]1C2[C@@H](O)C3[C@@H](CS)c4cccc(O)c4C(=O)C3C(O)[C@]2(O)C(=C(C(=O)N)C1=O)O
38774	CHEMBL29854	CN(C)[C@H]1C2CC3C(C(O)[C@]2(OC(=O)C)C(=C(C(=O)N)C1=O)O)C(=O)c4c(OC(=O)C)cccc4[C@@]3(C)O
38866	CHEMBL29557	CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)C
39133	CHEMBL28638	CCCCNC(=O)[C@@H]1CCCN2N1C(=O)[C@H](CCC2=O)NC(=O)[C@H](Cc3ccc(OP(=O)(O)O)cc3)NC(=O)C
41024	CHEMBL283809	CC1(C)CCC[C@@](C)(O1)C2CC[C@]3(C)C2[C@H](O)CC4[C@@]5(C)CC[C@H](O)C(C)(C)C5[C@@H](O)C[C@@]34C
43549	CHEMBL31566	CC(C)(N(Cc1ccccc1)C(=O)CN(CCc2ccccc2)C(=O)CNCCCN=C(N)N)C(=O)N
44933	CHEMBL33737	CCCCCCCOc1c(OC)cc(CN(CCN(CC(=O)O)CC(=O)O)C(=O)O)cc1OC
45286	CHEMBL33836	CCCCCCCCCCCCCCCCCCOCC(CNC(=O)C)NC(=O)C
45293	CHEMBL33529	CCCCCCCCCCCCCCCCCCOCC(CC[S+](C)[O-])NC(=O)C
45821	CHEMBL34227	CCCCCCCCCCCCCCCCCCOCC(CCSc1ccc(C)cc1)NC(=O)C
46303	CHEMBL284380	[O-][S+]1CC2(CCN(C[C@@H]3CN(C[C@@H]3c4ccccc4)S(=O)(=O)c5ccccc5)CC2)c6ccccc16
46423	CHEMBL33290	CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cc2ccccc2
46433	CHEMBL288561	CO[C@]12OO[C@](C)(CO)C=C1C(=O)C(C)(C)C(=O)C2(C)C
46475	CHEMBL417319	CO[C@]12OO[C@](C)(CO[Si](c3ccccc3)(c4ccccc4)C(C)(C)C)C=C1C(=O)C(C)(C)C(=O)C2(C)C
47180	CHEMBL287869	O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2cccnc2)[C@@H]1O)C(=O)O
48082	CHEMBL36463	COc1cc(cc(Br)c1O)C(C2C(O)C(=O)c3ccccc3C2=O)C4=C(O)C(=O)c5ccccc5C4=O
48324	CHEMBL35951	Cc1ccc2oc(nc2c1)c3cc(NCCCC#N)ccc3Cl
50064	CHEMBL35238	COCC1OC(OC2C(N)CC(N)C(OC3OC(CN)C(O)C(O)C3N)C2O)C(O)C(N)C1O
50067	CHEMBL35319	CCCCSCC1OC(OC2C(N)CC(N)C(OC3OC(CN)C(O)C(O)C3N)C2O)C(O)C(N)C1O
51960	CHEMBL416787	NCc1c(N)nc(nc1c2cccc(Cl)c2)c3ccccc3
52083	CHEMBL35451	NCc1c(N)nc(nc1c2cccc(F)c2)c3ccccc3
52750	CHEMBL36976	NC(=O)c1ccc(NC(=O)c2ncn3C(=O)N(CCCl)N=Nc23)cc1
