"assay_id","doc_id","description","assay_organism","assay_chembl_id","aidx","pref_name","activity_id","molregno","standard_relation","standard_value","standard_units","standard_flag","standard_type","pchembl_value","toid","upper_value","standard_upper_value","src_id (#1)","type","relation","value","units","text_value","standard_text_value","standard_inchi_key","canonical_smiles","compound_chembl_id"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",265814,68026,">",20000.0,"nM",1,"Ki",,,,,1,"Ki",">",20.0,"uM",,,"RPXWUUDZINQPTJ-UHFFFAOYSA-N","CNc1nccc(n1)c2sc(C)nc2C","CHEMBL46474"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",265817,67880,"=",140.0,"nM",1,"Ki",6.85,,,,1,"Ki","=",0.14,"uM",,,"GDZTURHUKDAJGD-UHFFFAOYSA-N","Cc1nc(C)c(s1)c2ccnc(Nc3ccc(O)cc3)n2","CHEMBL442957"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",267078,67751,"=",6500.0,"nM",1,"Ki",5.19,,,,1,"Ki","=",6.5,"uM",,,"CTFDMGIBHFQWKB-UHFFFAOYSA-N","Cc1nc(C)c(s1)c2ccnc(N)n2","CHEMBL47302"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",267081,67782,"=",1200.0,"nM",1,"Ki",5.92,,,,1,"Ki","=",1.2,"uM",,,"HOKDXVAONYXHJK-UHFFFAOYSA-N","Cc1nc(C)c(s1)c2ccnc(Nc3ccccc3F)n2","CHEMBL297447"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",267084,67961,"=",110.0,"nM",1,"Ki",6.96,,,,1,"Ki","=",0.11,"uM",,,"XNKSRGHGPSHYIW-UHFFFAOYSA-N","CNc1nc(C)c(s1)c2ccnc(Nc3cccc(O)c3)n2","CHEMBL44119"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",267087,67237,"=",300.0,"nM",1,"Ki",6.52,,,,1,"Ki","=",0.3,"uM",,,"JFMGVNVAZVRZMU-UHFFFAOYSA-N","Cc1nc(C)c(s1)c2ccnc(Nc3cccc(c3)C#N)n2","CHEMBL47132"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",268289,67288,"=",400.0,"nM",1,"Ki",6.4,,,,1,"Ki","=",0.4,"uM",,,"WASIAIVBEHTSIW-UHFFFAOYSA-N","Cc1nc(C)c(s1)c2ccnc(Nc3cccc(N)c3)n2","CHEMBL47636"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",268292,66755,"=",100.0,"nM",1,"Ki",7.0,,,,1,"Ki","=",0.1,"uM",,,"FUDBRAFSKPGJJE-UHFFFAOYSA-N","CN(C)c1ccc(Nc2nccc(n2)c3sc(C)nc3C)cc1Cl","CHEMBL433068"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",269791,67752,"=",30.0,"nM",1,"Ki",7.52,,,,1,"Ki","=",0.03,"uM",,,"MUSBOHKPZFHPFH-UHFFFAOYSA-N","Cc1nc(N)sc1c2ccnc(Nc3ccc(O)cc3)n2","CHEMBL431336"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",274609,67256,"=",60.0,"nM",1,"Ki",7.22,,,,1,"Ki","=",0.06,"uM",,,"JJDRRZFRTKZLFT-UHFFFAOYSA-N","Cc1nc(C)c(s1)c2ccnc(Nc3cccc(O)c3)n2","CHEMBL47527"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",278282,66757,"=",220.0,"nM",1,"Ki",6.66,,,,1,"Ki","=",0.22,"uM",,,"FGGSNQOBRJVAKL-UHFFFAOYSA-N","CN(C)c1ccc(Nc2nccc(n2)c3sc(C)nc3C)cc1","CHEMBL46817"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",281877,67781,"=",2.0,"nM",1,"Ki",8.7,,,,1,"Ki","=",0.002,"uM",,,"DYTKVFHLKPDNRW-UHFFFAOYSA-N","Cc1nc(N)sc1c2ccnc(Nc3cccc(c3)[N+](=O)[O-])n2","CHEMBL298445"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",284239,66797,"=",700.0,"nM",1,"Ki",6.16,,,,1,"Ki","=",0.7,"uM",,,"WGPQOBMGPFXDSX-UHFFFAOYSA-N","CN(C)c1ccc(Nc2nccc(n2)c3sc(N)nc3C)cc1","CHEMBL295398"
50641,17759,"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)",,"CHEMBL658107","CLD0","Cyclin-dependent kinase 2",285474,67946,">",20000.0,"nM",1,"Ki",,,,,1,"Ki",">",20.0,"uM",,,"NMLXMRMDZYTEQB-UHFFFAOYSA-N","Cc1nc(C)c(s1)c2ccnc(Nc3ccccc3Cl)n2","CHEMBL44063"
