SMILES CHEMBL_ID RTB
C[C@@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]32)C/C1=N\N=C1/C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@H]1C CHEMBL2104408 1
CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCS(=O)(=O)CC2 CHEMBL4175329 1
CC(=O)O[C@H]1CCC[C@@H]2COC(=O)[C@@H]21 CHEMBL2228334 1
CNC(=O)O[C@H]1OC(=O)[C@H]2[C@H]3C=C[C@H](C3)[C@H]21 CHEMBL3989617 1
CC1(C)CC[C@]2(C)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1 CHEMBL559587 1
CC1(C)[C@@H](O)CC[C@]2(C)C3=C(CC[C@@H]12)[C@@]1(C)CC[C@@]2(C)CC[C@@](C)(CO)C[C@H]2[C@]1(C)CC3 CHEMBL484238 1
C[C@]12CC[C@H](c3cc(F)c(O)cc3F)C[C@H]1CC[C@@H]2O CHEMBL1651144 1
Cc1cncc(C2=CC=C3[C@@H]4CCC5CNC(=O)CC[C@]5(C)[C@H]4CC[C@]23C)c1 CHEMBL3938064 1
C[C@H](O)[C@H]1O[C@@H]2SC(N3CCCC3)=N[C@@H]2[C@@H](O)[C@@H]1O CHEMBL3647379 1
CN[C@@]1(C)[C@@H]2CC[C@@H](C2)C1(C)C CHEMBL2103881 1
CN1CCC(=O)[C@]2(C1)[C@@H](c1cccc(F)c1)[C@@H]1CCCN1[C@@]21C(=O)Nc2ccccc21 CHEMBL564994 1
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)NCC[C@@]43C)[C@@H]1CC=C2n1ccnc1 CHEMBL3896070 1
CC[C@]1(O)CCC2C3CCC4Cc5nc6nc7ccccc7n6cc5C[C@]4(C)C3CC[C@@]21C CHEMBL126221 1
C[C@]12CC[C@H]3[C@@H](CCC4C[C@](C)(O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1 CHEMBL3938034 1
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)NCC[C@@]43C)[C@@H]1CC=C2n1ccnn1 CHEMBL3968394 1
CC1(C)C[C@H](O)[C@H](O)[C@]23C(=O)O[C@H](O)[C@H]2C(C=O)=CC[C@@H]13 CHEMBL1991620 1
C[C@]12O[C@H]1[C@@H](O)C(Br)=C(CO)[C@H]2O CHEMBL3185211 1
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4Cc5snnc5[C@@]4(C)CC[C@@H]32)C1 CHEMBL3770372 1
COc1ccc2c3c1OC1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314 CHEMBL1740794 1
N#CC[N+]12CC[C@@]34c5ccccc5N5C(=O)C[C@@H]6OCC=C(C1)[C@H](C[C@@H]32)[C@@H]6[C@H]54 CHEMBL336668 1
Cc1ccc([C@@H]2c3ccccc3[C@H]3NCCC[C@H]32)cc1N CHEMBL343138 1
COc1ccc2c(c1)CCN1O[C@@]3(C[C@@H]21)C(=O)O[C@@H]1O[C@@]2(C)CC[C@H]4[C@H](C)CC[C@@H]3[C@@]14O2 CHEMBL3633070 1
c1ccc2c(c1)C[C@H]1[C@@H](c3ccncc3)Nc3cccnc3[C@@H]21 CHEMBL3786958 1
C[C@@H]1O[C@@H](n2c(Br)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O CHEMBL2094070 1
CC(=O)[C@@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]21C CHEMBL1908051 1
C[C@@]12C(=O)NC(=O)[C@]1(CO)[C@H]1CC[C@@H]2O1 CHEMBL3935664 1
CN1C[C@@H](O)[C@H](O)[C@H]1CO CHEMBL80148 1
COC(=O)c1cc2c(c(O)c1O)O[C@@]1(C2)[C@@H](C)CC[C@H]2C(C)(C)CCC[C@@]21C CHEMBL2386280 1
CO[C@H]1C[C@H]2C(=C[C@@H]1O)[C@H]1CN2Cc2cc3c(cc21)OCO3 CHEMBL4210016 1
C[C@]12CCC3C(CC[C@H]4Cc5oc(C(=O)O)cc5C[C@]34C)C1CC[C@@H]2O CHEMBL334872 1
