chembl_id canonical_smiles
CHEMBL3235495 [11CH3]N1CC2CN(c3ccc(-c4ccc5[nH]ccc5c4)nn3)CC2C1
CHEMBL5184286 [11CH3]n1cc(Cc2ccc(OCF)c(-c3cccc(Cl)c3)n2)cn1
CHEMBL5201619 [11CH3]N1CCN(c2cccc3cc(S(=O)(=O)c4cccc(F)c4)cnc23)CC1
CHEMBL2386554 [11CH3]n1cc(Sc2ccc(Cl)cc2)c(-c2ccc3ccc(C(N)=O)nc3c2)n1
CHEMBL207456 [11CH3]Nc1ccc(-c2nc3ccc(O)cc3s2)cc1
CHEMBL5172506 [11CH3]Oc1ccccc1N1CCN(CCCN/C(=N\C#N)c2ccccn2)CC1
CHEMBL5191141 [2H]c1c([2H])c([2H])c([C@@H]2C[C@@H](N3CCN(C([2H])([2H])[2H])C(C)(C)C3)c3cc(Cl)ccc32)c([2H])c1[2H]
CHEMBL4556909 [2H]C1(Oc2ncc(-c3cc(NC(=O)c4cccc(C(F)(F)F)c4)cnc3C)cc2N2CCOCC2)CCOCC1
CHEMBL5205138 [2H]C([2H])([18F])C([2H])([2H])C([2H])([2H])OC(=O)C(CC)(CC)NC(=O)c1ccc(N2CC(OC)C2)c(OC[C@H]2C[C@@H]2CO)n1
CHEMBL4061320 [2H]C([2H])([2H])C1([2H])N(c2cc(-c3cc(Cl)c4c(N)ncnn34)ccc2C#N)C(=O)C(C)(C)OC1([2H])[2H]
CHEMBL4864173 [2H]C([2H])([2H])c1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n([C@H](c3ccc(Cl)cn3)C3CCOCC3)c2c1
CHEMBL4846895 [2H]C([2H])([2H])c1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)c(F)c3n([C@H](c3ncccc3F)C3CCOCC3)c2c1
CHEMBL2431371 [2H]C([2H])([2H])C(c1cc(-c2ccc[nH]c2=O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H]
CHEMBL2021552 [2H]C([2H])([2H])C(O)(CCC[C@H](C/C=C/C(O)(C(C)(F)F)C(F)(F)F)[C@H]1CC[C@H]2/C(=C/C=C3/C[C@@H](O)C[C@H](O)C3=C)CCC[C@]12C)C([2H])([2H])[2H]
CHEMBL3959849 [2H]C([2H])([2H])n1cc(-c2ccc3ncc(N(CCO)c4cc(OC)cc(OC)c4)nc3c2)cn1
CHEMBL5183629 [2H]C([2H])([2H])N1C(=O)C2CN(C(=O)CCOC[C@H](C)Oc3cn[nH]c(=O)c3C(F)(F)F)CCN2c2ncc(C(F)(F)F)cc21
CHEMBL5411365 [2H]C([2H])([2H])n1nc(-c2ccc(N[C@H]3CCN(C(=O)[C@H](C)c4cc(OC)ncc4F)C3)nc2C)nc1C(F)F
CHEMBL4780233 [2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2cnc(C)cn2)c1OC
CHEMBL4571117 [2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
CHEMBL5437122 [2H]C([2H])([2H])NC(=O)c1nnc(Nc2cc(C)ccn2)cc1Nc1nccc(-c2ncn(C)n2)c1OC
CHEMBL4583185 [2H]C([2H])([2H])NC(=O)c1nnc(Nc2ccc(F)cn2)cc1Nc1ccccc1S(C)(=O)=O
CHEMBL5409445 [2H]C([2H])([2H])NC(=O)c1nnc(Nc2ccc(OC)nn2)cc1Nc1nccc(-c2ncc(F)cn2)c1OC
CHEMBL4444178 [2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1ccccc1S(C)(=O)=O
CHEMBL4796821 [2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ccc(C(C)(C)O)cn2)c1OC
CHEMBL4784391 [2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC
CHEMBL5427107 [2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)CC2CC2)cc1Nc1nccc(-c2ncn(C)n2)c1OC
CHEMBL5409590 [2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)CC)cc1Nc1nccc(-c2ncn(C)n2)c1OC
CHEMBL4800520 [2H]C([2H])([2H])Oc1cc2ccnc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CC[C@@H](C)C[C@@H](CC)[C@H](NC(=O)OC(C)(C)C(F)(F)F)C(=O)N4C3)c2cc1F
CHEMBL3975791 [2H]C([2H])([2H])Oc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CHEMBL5204709 [2H]C([2H])(NC(=O)c1c(C)n([C@H](C)C2CCC(OC)CC2)c2ccccc12)c1c(SC)cc(C)[nH]c1=O
CHEMBL5417773 [2H]C([2H])(Oc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cnc(-c3cc(O)cc4ccc(F)c(C#C)c34)c(F)c2n1)C12CCCN1CC(=C(F)F)C2
CHEMBL5596699 [2H][C@@](C)(c1cccc(-c2ncc(OCC3CCN(C)CC3)cn2)c1)n1nc(-c2cccc(C#N)c2)ccc1=O
