molregno,MolLogP,TPSA,NumRotatableBonds,MolWt,NumHAcceptors,NumHDonors
29272,1.6995999999999996,92.49999999999999,5,419.4690000000002,4,2
29758,1.4268999999999998,46.330000000000005,2,228.361,3,1
29449,2.1136,75.42999999999999,4,383.46400000000017,4,2
29244,1.7515999999999994,92.49999999999999,5,401.47900000000027,4,2
29265,2.3199999999999994,101.73,6,467.4850000000002,5,2
29253,1.6995999999999996,92.49999999999999,5,419.4690000000002,4,2
29482,2.2031,75.42999999999999,4,365.4240000000002,3,2
29340,2.8542000000000005,75.42999999999999,4,415.48100000000017,4,2
29213,2.3693,84.65999999999998,5,377.46000000000015,4,2
29352,2.3199999999999994,101.73,6,467.4850000000002,5,2
29341,2.4483000000000006,75.42999999999999,4,401.40400000000017,3,2
29323,2.372,101.73,6,449.49500000000023,5,2
29235,2.666500000000001,84.65999999999998,5,395.45000000000016,4,2
29448,2.1510999999999996,75.42999999999999,4,383.41400000000016,3,2
29258,2.4213000000000005,84.65999999999998,5,359.4700000000002,4,2
29314,2.1510999999999996,75.42999999999999,4,383.41400000000016,3,2
29264,2.6172000000000004,101.73,6,485.4750000000002,5,2
29215,2.3693,84.65999999999998,5,377.46000000000015,4,2
29718,2.2824999999999998,101.73,6,467.5350000000002,6,2
234687,2.1136,75.42999999999999,4,383.46400000000017,4,2
234392,2.4213000000000005,84.65999999999998,5,359.4700000000002,4,2
234789,2.988600000000001,75.42999999999999,4,397.5440000000002,4,2
234287,1.7515999999999994,92.49999999999999,5,401.47900000000027,4,2
234336,2.372,101.73,6,449.49500000000023,5,2
234913,2.8317000000000014,87.46,4,488.3950000000002,4,3
234495,3.078100000000001,75.42999999999999,4,379.50400000000025,3,2
235506,2.2824999999999998,101.73,6,467.5350000000002,6,2
522806,5.542200000000004,27.82,2,362.42300000000006,1,2
522883,4.769700000000004,27.82,2,318.4110000000002,1,2
522805,4.903300000000003,27.82,2,328.81800000000004,1,2
61800,4.3019000000000025,27.82,2,276.38300000000004,1,2
522882,4.450500000000003,27.82,2,318.392,2,2
522884,2.5086000000000004,54.120000000000005,2,294.301,3,2
62690,4.580100000000003,27.82,2,312.36300000000006,1,2
522807,5.542200000000004,27.82,2,362.42300000000006,1,2
62689,6.257000000000006,19.03,5,380.535,1,1
522804,4.389000000000003,27.82,2,312.363,1,2
522745,4.389000000000003,27.82,2,312.363,1,2
522886,4.528100000000003,27.82,2,330.353,1,2
522808,3.7840000000000016,40.71,2,313.351,2,2
1385918,6.7880000000000065,19.03,5,406.57300000000004,1,1
61811,6.257000000000006,19.03,5,380.535,1,1
63314,4.6441000000000034,19.03,2,290.41,1,1
63308,6.2145000000000055,19.03,4,366.5080000000001,1,1
62755,4.991700000000004,19.03,2,290.41,1,1
522746,4.903300000000003,27.82,2,328.81800000000004,1,2
62728,4.3019000000000025,27.82,2,276.38300000000004,1,2
522885,3.974300000000002,56.92,3,355.38800000000003,2,3
120674,3.831000000000003,41.93000000000001,7,373.46800000000013,4,1
245193,4.778400000000005,3.24,3,341.44500000000005,1,0
245317,3.317280000000002,61.17,5,390.4550000000001,4,0
244895,3.4456000000000024,37.38,5,365.44500000000005,3,0
522745,4.389000000000003,27.82,2,312.363,1,2
244901,2.544500000000001,80.47,6,408.4700000000001,4,1
244841,3.317280000000002,61.17,5,390.4550000000001,4,0
244263,3.991100000000003,23.47,3,321.464,2,1
244233,3.5847000000000024,37.38,5,383.43500000000006,3,0
131689,3.699900000000003,43.86,5,425.52900000000017,4,0
244860,3.762000000000003,37.38,3,391.48300000000006,3,0
245190,3.557500000000002,37.38,6,343.4920000000001,3,0
244289,4.367100000000004,12.47,3,343.41700000000003,2,0
244094,2.9467000000000017,54.45,5,361.43800000000005,4,0
244868,2.544500000000001,80.47,6,408.4700000000001,4,1
244262,4.099000000000004,37.38,5,399.8900000000001,3,0
244897,4.375700000000004,21.700000000000003,4,373.44300000000015,3,0
244840,3.317280000000002,61.17,5,390.4550000000001,4,0
244876,3.1674000000000015,37.38,5,329.46500000000003,3,0
128085,4.459600000000004,78.52000000000001,9,456.4890000000002,5,1
128116,4.9112000000000045,78.52000000000001,9,476.54500000000024,6,1
1384547,5.605900000000003,78.52000000000001,9,570.4580000000003,6,1
128556,4.849700000000005,78.52000000000001,9,470.51600000000025,5,1
128557,4.459600000000004,78.52000000000001,9,456.4890000000002,5,1
1384546,5.996000000000003,78.52000000000001,9,584.4850000000004,6,1
88540,5.548200000000004,78.52000000000001,10,528.5020000000002,5,1
