patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-9090628-B2,CHEMBL3638629,CHEMBL3704656,Cc1nc(-c2cn3c(n2)-c2cnc(N4CCCC4C4CCCCN4C)cc2OCC3)n(CC(F)(F)F)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704657,CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N3CCCC3CN3CCCC3)cc1OCC2
US-9090628-B2,CHEMBL3638629,CHEMBL3704658,CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N3CCCC3C3CCN(C)CC3)cc1OCC2
US-9090628-B2,CHEMBL3638629,CHEMBL3704659,CC(C)n1ncnc1-c1cn2c(n1)-c1cc(CN3CCN(C(C)(C)C)CC3)ccc1OCC2
US-9090628-B2,CHEMBL3638629,CHEMBL3704660,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(-c3ccccc3S(N)(=O)=O)cc1OCC2
US-9090628-B2,CHEMBL3638629,CHEMBL3704661,CC(C)n1ncnc1-c1cn2c(n1)-c1cc(C(=O)N3CCN(C(C)(C)C)CC3)ccc1OCC2
US-9090628-B2,CHEMBL3638629,CHEMBL3704662,CC(Oc1ccc2c(c1)OCCn1cc(-c3ncnn3C(C)C)nc1-2)C1CCN(C(C)C)CC1
US-9090628-B2,CHEMBL3638629,CHEMBL3704663,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C)c4C4CCCN(C(C)(C)CO)C4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704664,Cc1nc(-c2cn3c(n2)-c2ccc(-c4ncnn4C4CCN(C(C)(C)C)CC4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704665,Cc1nc(-c2cn3c(n2)-c2ccc(OC4(CN5CCN(C)CC5)CC4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704666,Cc1nc(-c2cn3c(n2)-c2ccc(OC4CC(C)CN(C(C)C)C4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704667,Cc1nc(-c2cn3c(n2)-c2ccc(OC4(C)CCN(C(C)C)C4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704668,Cc1nc(-c2cn3c(n2)-c2ccc(-c4ccnn4C4CCCN(Cc5ccccc5)C4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704669,Cc1nc(-c2cn3c(n2)-c2ccc(N4CCC[C@@H]4C4CCN(C(C)C)CC4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704670,Cc1cc2c(cc1-c1ccnn1C1CCN(C)CC1)OCCn1cc(-c3ncnn3C(C)C)nc1-2
US-9090628-B2,CHEMBL3638629,CHEMBL3704671,Cc1nc(-c2cn3c(n2)-c2ccc(N4CCC[C@H]4C4CCN(C(C)C)CC4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704672,Cc1nc(-c2cn3c(n2)-c2ccc(-c4ccnn4C4CCCN(C(C)(C)CO)C4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704673,Cc1nc(-c2cn3c(n2)-c2ccc(-c4ccnn4C4CCN(C(C)(C)C)CC4)cc2OCC3)n(C(C)C)n1
US-9090628-B2,CHEMBL3638629,CHEMBL3704674,CC(C)n1ncnc1-c1cn2c(n1)-c1cc([S+]([O-])C3CCN(C(C)(C)C)CC3)ccc1OCC2
US-9090628-B2,CHEMBL3638629,CHEMBL3704675,Cc1nc(-c2cn3c(n2)-c2ccc(OC4(C)CNC4)cc2OCC3)n(C(C)C)n1
