doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL1140586	[#6]-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#8]-&@[#6](-&@[#6]-&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#8,#6,#7,#16,#17]	0.8527131782945737
CHEMBL1143305	[#6]-&!@[#7,#6]-,=;!@[#6,#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#7]-&!@[#6]1:&@[#7,#6]:&@[#6,#7]:&@[#6,#7]:&@[#6](:&@[#7,#6]:&@1)-&!@[#6,#7]	0.5519287833827894
CHEMBL1152282	[#7,#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#7,#6]:&@[#6]:&@1	0.5056726094003241
CHEMBL1153392	[#6]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#7]2:&@[#6](:&@[#7]:&@1):&@[#7]:&@[#6]:&@[#7]:&@2	0.8438256658595642
CHEMBL1136951	[#6]1:,-;@[#6]:,-;@[#6,#7](-&!@[#6,#7](=,-;!@[#8,#6,#9])-,=;!@[#8,#6,#7,#9]):,-;@[#6]:,-;@[#6]:,-;@[#6,#8]:,-;@1	0.3021363173957273
CHEMBL1136988	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#7,#6]:&@[#6]:&@1)-&!@[#7,#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]1:&@[#7,#6]:&@[#7,#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#7,#6]:&@[#6]:&@[#6]:&@1	0.7791629563668744
CHEMBL1138529	[#6]-&!@[#7]1:&@[#6]:&@[#7]:&@[#6]:&@[#6]:&@1-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6](-&!@[#7](-&!@[#6,#16]-&!@[#6])-&!@[#16,#6]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@[#7,#6]:&@2)-&@[#6]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#6]#&!@[#7]	0.7040971168437026
CHEMBL1153522	[#6]1:&@[#6,#7]:&@[#6]:&@[#6](:&@[#6,#7]:&@[#6,#7]:&@1)-&!@[#6]1=,-;@[#6]-&@[#6]-&@[#8]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.5683530678148546
CHEMBL1156787	[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6,#7](:,-;@[#6]:,-;@1)-&!@[#6,#8,#16]-,=;!@[#7,#6]-&!@[#16,#6](=,-;!@[#8,#6])-,=;!@[#6,#7,#8]	0.32197696737044146
CHEMBL1156284	[#6]-&!@[#6](-&!@[#8]-&!@[#6]1-&@[#6]-&@[#7]2-&@[#6](-&@[#6]-&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#9])-&@[#6]-&@[#6](=&@[#6]-&@[#6]-&@2=&!@[#8])-&!@[#6,#7])-&!@[#6]1:&@[#6]:&@[#6](-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]):&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]	0.8543307086614172
