doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL1140586	[#6]-,=;!@[#6]-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#8]-&@[#6](-&@[#6]-&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8527131782945737
CHEMBL1143305	[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.49060336300692386
CHEMBL1152282	[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#7]:&@[#6]:&@1	0.5056726094003241
CHEMBL1153392	[#6]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#7]2:&@[#6](:&@[#7]:&@1):&@[#7]:&@[#6]:&@[#7]:&@2	0.8438256658595642
CHEMBL1136951	[#6]-&!@[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#7]:,-;@1	0.20142421159715157
CHEMBL1136988	[#7]-&!@[#6]1:&@[#7]:&@[#7]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6]	0.28049866429207476
CHEMBL1138529	[#6]-&!@[#7]1:&@[#6]:&@[#7]:&@[#6]:&@[#6]:&@1-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6](-&!@[#7](-&!@[#6]-&!@[#6])-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6])-&@[#6]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#6]#&!@[#7]	0.6312594840667678
CHEMBL1153522	[#6]-&!@[#6]1=,-;@[#6]-&@[#6]-&@[#8]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.3907427341227126
CHEMBL1156787	[#8]=&!@[#6](-&!@[#6])-&!@[#7]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]	0.23416506717850286
CHEMBL1156284	[#6]-&!@[#6](-&!@[#8]-&!@[#6]1-&@[#6]-&@[#7]2-&@[#6](-&@[#6]-&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#9])-&@[#6]-&@[#6](=&@[#6]-&@[#6]-&@2=&!@[#8])-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6](-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]):&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]	0.8543307086614172
