assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL706269	[#6,#9,#17]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1-&!@[#7]-&!@[#6]1:&@[#7]:&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]2:&@[#6]:&@1:&@[#6]:&@[#7]:&@[#6]:&@2)-&!@[#17,#6]	0.8112798264642083
CHEMBL650169	[#8]=&!@[#6]1-&@[#7]-&@[#6](-&!@[#6]-&!@[#6]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&@[#6](-&@[#6](-&@[#7]-&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8]	0.7409200968523002
CHEMBL643766	[#7,#6,#8]-,=;!@[#6,#7,#8]-&!@[#6,#7]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6,#7]:,-;@1	0.32225063938618925
CHEMBL666660	[#6]-&!@[#6]1(-&!@[#6])-&@[#7]=&@[#6](-&!@[#7])-&@[#7]=&@[#6](-&@[#7]-&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]	0.6749654218533887
CHEMBL644415	[#6]-&!@[#6](-&!@[#6]-&!@[#16])-&!@[#6](=&!@[#8])-&!@[#7](-&!@[#6])-&!@[#6]-&!@[#6](=&!@[#8])-&!@[#8]	0.6285714285714286
CHEMBL802759	[#8,#6]=,-;!@[#6,#7]1-&@[#7,#6]-&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#7,#6]:&@[#6]:&@2-&@[#7]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6,#7]:&@2	0.7748184019370461
CHEMBL746727	[#7,#6]-&!@[#6]1-&@[#6]-&@[#6](-&!@[#6](=&!@[#8])-&!@[#8])-&@[#7]-&@[#6]2:&@[#6]-&@1:&@[#6](:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#17,#6,#53])-&!@[#17,#6,#53]	0.6422535211267605
CHEMBL797532	[#6,#8]-,=;!@[#6,#8,#16]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6]-&!@[#6,#7]):&@[#6](:&@[#7]:&@[#6]:&@1-&!@[#6])-,=;!@[#8,#16]	0.5882727852135118
CHEMBL646539	[#6]-&!@[#6]-&!@[#6]-,=;!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#17,#6,#7,#8,#9]	0.7159090909090909
CHEMBL645898	[#6,#8]-&!@[#6,#8]-&!@[#6]-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8,#6,#16]-&!@[#6,#7,#8,#16]-&!@[#6]-&!@[#6]-&!@[#7]1:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8717434869739479
CHEMBL646536	[#6]-,=;!@[#6]-,=;!@[#6]-,=;!@[#6]-,=;!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6,#7]-&!@[#7,#6,#8,#16]-,=;!@[#6,#7,#8,#16]-,=;!@[#7,#6,#8,#16]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6,#8,#9,#17,#35]	0.675422138836773
CHEMBL812308	[#7,#6]-&!@[#6]1:&@[#7,#6]:&@[#6](-&!@[#8,#7]):&@[#6]2:&@[#6](:&@[#7,#6]:&@1)-,:;@[#6]-,:;@[#6]-,:;@[#6]1:&@[#6]-,:;@2:&@[#6]:&@[#6,#7]:&@[#6]:&@[#6,#7]:&@1	0.8966061562746646
CHEMBL639304	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7,#8]-,=;!@[#6,#16](=,-;!@[#8,#7,#16])-&!@[#7]-&!@[#6]-&!@[#6]-&!@[#6]	0.48220551378446114
CHEMBL768257	[#6,#7,#8]-,=;!@[#7,#6,#8]-&!@[#6](=,-;!@[#8,#6])-&!@[#6,#7](-&!@[#6]-,=;!@[#6,#8])-&!@[#6,#7]-&!@[#6](-,=;!@[#8])-&!@[#6](-&!@[#6,#7]-&!@[#6,#8,#16])-&!@[#7,#6]-&!@[#6](=,-;!@[#8,#6,#7])-,=;!@[#6,#8]	0.3715534633490249
CHEMBL648844	[#6]-&!@[#6]-&!@[#6]-&!@[#6,#16]-&!@[#6]1:&@[#7]:&@[#7,#6]:&@[#6]:&@[#7]:&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6,#7]	0.4723618090452261
CHEMBL800744	[#6,#7,#8]-,#;!@[#6,#7]-&!@[#6]1:,-;@[#6]:,=;@[#6](-&!@[#6,#7,#8,#16]-,=;!@[#6,#7]-&!@[#6,#7]):,-;@[#6](:,-;@[#7]:,-;@[#6]:,=;@1-&!@[#6])-&!@[#8,#7,#16]	0.5927672955974843
CHEMBL637691	[#6]-&!@[#6](-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]-&!@[#6]1(-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1)-&!@[#6](-&!@[#6])-&!@[#6]	0.8831168831168831
CHEMBL646540	[#6,#8]-,=;!@[#6,#7]-&!@[#7,#6]-&!@[#6](-&!@[#6]-&!@[#7,#8]-&!@[#6](=&!@[#8])-&!@[#7,#8]-&!@[#6]1:&@[#6](-&!@[#6](-&!@[#6])-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6](-&!@[#6])-&!@[#6])-&!@[#6]	0.6351706036745407
CHEMBL639302	[#7,#8,#16]-,=;!@[#6](=,-;!@[#8,#7,#16])-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7,#8,#16]-&!@[#6]1:&@[#6](-&!@[#6](-&!@[#6])-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6](-&!@[#6])-&!@[#6]	0.6338821490467937
CHEMBL652869	[#6]-&!@[#6]-&!@[#6]-&!@[#6]1:&@[#7]:&@[#7](:&@[#6](:&@[#7]:&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#7]-&!@[#6,#16](-,=;!@[#6,#8])=,-;!@[#8,#6,#7])=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#17,#6]	0.7971371057928875
CHEMBL645926	[#6,#7]-&!@[#6,#7]-&!@[#6]-&!@[#7,#6]-&!@[#6,#7]-&!@[#6]-&!@[#6,#7]-&!@[#6]-&!@[#6]-&!@[#16,#6,#7]-&!@[#6]1:&@[#7]:&@[#6]:&@[#6](:&@[#7]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.5133991537376587
CHEMBL648855	[#6,#8]-,=;!@[#6,#7]-&!@[#7,#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#7]1:&@[#7]:&@[#6](:&@[#7](:&@[#6]:&@1=&!@[#8])-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#8,#6])-&!@[#6]-&!@[#6])-&!@[#35,#6,#17]	0.773961661341853
CHEMBL802599	[#6]-&!@[#7]1-&@[#6]2:&@[#7]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2-&@[#6](-&@[#7]-&@[#6]2:&@[#6]-&@1:&@[#7]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#17,#6,#7,#8,#9,#16,#35])=&!@[#8]	0.768642447418738
CHEMBL797524	[#16,#8]=,-;!@[#6](-,=;!@[#7]-&!@[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@[#6,#7]:&@1)-,=;!@[#7]-&!@[#6]	0.6748936170212766
CHEMBL769512	[#6]-&!@[#6]-&!@[#7]1-&@[#6](=&!@[#8])-&@[#7](-&!@[#6]-&!@[#6])-&@[#6](-&@[#6](-&@[#6](-&@[#6]-&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8])-&!@[#8])-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7310126582278481
CHEMBL667185	[#7,#6]-&!@[#6]1=,:;@[#7,#6]-,:;@[#6]-,:;@[#6](-,:;@[#6](=,:;@[#7,#6]-,:;@1)-&!@[#7,#8])-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7510288065843621
CHEMBL665590	[#7]-&!@[#6]1:&@[#7]:&@[#6](-&!@[#7]):&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#7,#6]:&@[#6]:&@[#6](:&@[#7,#6]:&@2)-&!@[#6]-&!@[#16,#6,#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8350444900752909
CHEMBL769246	[#8]=,-;!@[#6]1:,-;@[#6,#8]:,-;@[#6](-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):,-;@[#8,#6]:,-;@[#6](:,-,=;@[#6]:,-,=;@1-&!@[#16]-&!@[#6])-,=;!@[#8]	0.5571166768478925
CHEMBL643358	[#6,#9]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#6,#9,#16]):&@[#6](:&@[#6](:&@[#6,#7]:&@1)-&!@[#6,#9,#16])-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7](-&!@[#6]-&!@[#6])-&!@[#6]	0.48632218844984804
CHEMBL802411	[#6]-&!@[#6]-&!@[#7]1-&@[#6]2:&@[#7]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2-&@[#6](-&@[#7](-&@[#6]2:&@[#6]-&@1:&@[#7]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6])=&!@[#8])-&!@[#6,#7]-,=;!@[#8,#6]	0.768125408229915
CHEMBL656501	[#6,#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6,#7]:&@1)-&!@[#6]=&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7](-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1-&!@[#17,#6])-&!@[#6]-&!@[#8]-&!@[#6])-&!@[#17,#6]	0.6540983606557377
CHEMBL821446	[#7,#8]-,=;!@[#6](=,-;!@[#8,#6,#7])-&!@[#6](-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6](=&!@[#7])-&!@[#7])-&!@[#7]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6649874055415617
CHEMBL663972	[#6]1:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6](:&@[#6]:&@1)-&!@[#8,#6,#7]-&!@[#6,#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#7,#6]:&@1):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.4882629107981221
CHEMBL766054	[#6]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#16]-&!@[#6]2=,-;@[#6](-,=;!@[#8])-&@[#8,#6]-&@[#6](-&@[#6,#8]-&@[#6]-,=;@2=,-;!@[#8])(-&!@[#6])-&!@[#6]-&!@[#6]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#7,#8]-&!@[#16](-,=;!@[#6,#7,#8])(=&!@[#8])=,-;!@[#8,#6,#7])-&!@[#6](-&!@[#6])(-&!@[#6])-&!@[#6]	0.8289256198347107
CHEMBL800582	[#7]#&!@[#6]-&!@[#6]1:&@[#6](-&!@[#7]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8389513108614232
CHEMBL665360	[#6]-&!@[#6]1:&@[#6](-&!@[#6]-&!@[#7,#6,#16]-&!@[#6]2:,-;@[#6]:,-;@[#6,#7]:,-;@[#6]:,-;@[#6]:&@[#6]:,-;@2):&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6](:&@[#7]:&@[#6](:&@[#7]:&@2)-&!@[#7])-&!@[#7]	0.8386929460580913
CHEMBL768259	[#8]=&!@[#6]1-&@[#7]-&@[#6](-&!@[#6]-,=;!@[#6]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&@[#6](-&@[#6](-&@[#7]-&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8]	0.7447248655357882
