assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL706269	[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]-&!@[#6]1:&@[#7]:&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]2:&@[#6]:&@1:&@[#6]:&@[#7]:&@[#6]:&@2	0.7744034707158352
CHEMBL650169	[#8]=&!@[#6]1-&@[#7]-&@[#6](-&!@[#6]-&!@[#6]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&@[#6](-&@[#6](-&@[#7]-&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8]	0.7409200968523002
CHEMBL643766	[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@1	0.24168797953964194
CHEMBL666660	[#6]-&!@[#6]1(-&!@[#6])-&@[#7]=&@[#6](-&!@[#7])-&@[#7]=&@[#6](-&@[#7]-&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]	0.6749654218533887
CHEMBL644415	[#6]-&!@[#6](-&!@[#6]-&!@[#16])-&!@[#6](=&!@[#8])-&!@[#7](-&!@[#6])-&!@[#6]-&!@[#6](=&!@[#8])-&!@[#8]	0.6285714285714286
CHEMBL802759	[#8]=&!@[#6]1-&@[#7]-&@[#6]:&@[#6]-&@[#7]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6]:&@[#7]:&@2	0.5811138014527846
CHEMBL746727	[#8]=&!@[#6](-&!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#6]2:&@[#6](-&@[#7]-&@1):&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2-&!@[#17])-&!@[#17]	0.602112676056338
CHEMBL797532	[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6]-&!@[#6]):&@[#6](:&@[#7]:&@[#6]:&@1-&!@[#6])-,=;!@[#8]	0.4977692797960484
CHEMBL646539	[#6]-&!@[#6]-&!@[#6]-,=;!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6818181818181819
CHEMBL645898	[#6]-&!@[#6]-&!@[#6]-&!@[#7]1:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.4208416833667335
CHEMBL646536	[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-,=;!@[#6]	0.3377110694183865
CHEMBL812308	[#7]-&!@[#6]1:&@[#7]:&@[#6](-&!@[#8]):&@[#6]2:&@[#6](:&@[#7]:&@1)-,:;@[#6]-,:;@[#6]-,:;@[#6]1:&@[#6]-,:;@2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8966061562746646
CHEMBL639304	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]	0.4080200501253133
CHEMBL768257	[#6]-&!@[#6](-,=;!@[#8])-&!@[#6](-&!@[#6]-&!@[#6])-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#6]	0.24041694687289844
CHEMBL648844	[#6]-&!@[#6]-&!@[#6]1:&@[#7]:&@[#7]:&@[#6]:&@[#7]:&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.3890038427431274
CHEMBL800744	[#6]-&!@[#6]-&!@[#6]1:,-;@[#6]:,=;@[#6]:,-;@[#6]:,-;@[#7]:,-;@[#6]:,=;@1	0.3647798742138365
CHEMBL637691	[#6]-&!@[#6](-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]-&!@[#6]1(-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1)-&!@[#6](-&!@[#6])-&!@[#6]	0.8831168831168831
CHEMBL646540	[#6]-&!@[#6](-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]-&!@[#6])-&!@[#6](-&!@[#6])-&!@[#6]	0.5196850393700788
CHEMBL639302	[#6]1:&@[#6](-&!@[#6](-&!@[#6])-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6](-&!@[#6])-&!@[#6]	0.4003466204506066
CHEMBL652869	[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]1:&@[#7]:&@[#7](:&@[#6](:&@[#7]:&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16](-&!@[#7])(=&!@[#8])=&!@[#8])=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7307090136434803
CHEMBL645926	[#6]1:&@[#7]:&@[#6](:&@[#6](:&@[#7]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.4156088387400094
