doc_id,doc_chembl_id,lead_mol_count,title,mol_count
112401,CHEMBL4373715,1,"Discovery and Biological Evaluations of Halogenated 2,4-Diphenyl Indeno[1,2-<i>b</i>]pyridinol Derivatives as Potent Topoisomerase IIα-Targeted Chemotherapeutic Agents for Breast Cancer.",172
119964,CHEMBL4765483,2,"3,4-Dihydropyrimidin-2(1H)-ones as Antagonists of the Human A Adenosine Receptor: Optimization, Structure-Activity Relationship Studies, and Enantiospecific Recognition.",167
110611,CHEMBL4311995,1,Discovery and development of extreme selective inhibitors of the ITD and D835Y mutant FLT3 kinases.,128
104326,CHEMBL4007421,1,"Discovery and Preclinical Characterization of 3-((4-(4-Chlorophenyl)-7-fluoroquinoline-3-yl)sulfonyl)benzonitrile, a Novel Non-acetylenic Metabotropic Glutamate Receptor 5 (mGluR5) Negative Allosteric Modulator for Psychiatric Indications.",125
127075,CHEMBL5344428,4,"Discovery, Crystallographic Studies, and Mechanistic Investigations of Novel Phenylalanine Derivatives Bearing a Quinazolin-4-one Scaffold as Potent HIV Capsid Modulators.",120
63009,CHEMBL2069214,1,Discovery of triazolopyrimidine-based PDE8B inhibitors: exceptionally ligand-efficient and lipophilic ligand-efficient compounds for the treatment of diabetes.,111
108042,CHEMBL4184337,2,"Discovery of Orally Bioavailable, Quinoline-Based Aldehyde Dehydrogenase 1A1 (ALDH1A1) Inhibitors with Potent Cellular Activity.",107
137323,CHEMBL6121052,1,Design of ROS-Triggered Sesquiterpene Lactone SC Prodrugs as TrxR1 Covalent Inhibitors for the Treatment of Non-Small Cell Lung Cancer.,105
107509,CHEMBL4152384,1,"Pyrtriazoles, a Novel Class of Store-Operated Calcium Entry Modulators: Discovery, Biological Profiling, and in Vivo Proof-of-Concept Efficacy in Acute Pancreatitis.",104
104984,CHEMBL4024779,1,Novel Terminal Bipheny-Based Diapophytoene Desaturases (CrtN) Inhibitors as Anti-MRSA/VISR/LRSA Agents with Reduced hERG Activity.,102
124326,CHEMBL5150021,1,Identification of 5-(Aryl/Heteroaryl)amino-4-quinolones as Potent Membrane-Disrupting Agents to Combat Antibiotic-Resistant Gram-Positive Bacteria.,101
107220,CHEMBL4145615,2,Indolyl Azaspiroketal Mannich Bases Are Potent Antimycobacterial Agents with Selective Membrane Permeabilizing Effects and in Vivo Activity.,100
136792,CHEMBL6103542,2,"Discovery and Preclinical Characterization of Fulacimstat (BAY 1142524), a Potent and Selective Chymase Inhibitor As a New Profibrinolytic Approach for Safe Thrombus Resolution.",98
115713,CHEMBL4602728,1,"6-Amino[1,2,5]oxadiazolo[3,4-b]pyrazin-5-ol Derivatives as Efficacious Mitochondrial Uncouplers in STAM Mouse Model of Nonalcoholic Steatohepatitis.",97
124657,CHEMBL5154907,1,Discovery and Anti-Inflammatory Activity Evaluation of a Novel CDK8 Inhibitor through Upregulation of IL-10 for the Treatment of Inflammatory Bowel Disease <i>In Vivo</i>.,96
136732,CHEMBL6096704,1,"Discovery of FHD-286, a First-in-Class, Orally Bioavailable, Allosteric Dual Inhibitor of the Brahma Homologue (BRM) and Brahma-Related Gene 1 (BRG1) ATPase Activity for the Treatment of SWItch/Sucrose Non-Fermentable (SWI/SNF) Dependent Cancers.",93
107685,CHEMBL4177680,1,"Discovery of a Potent, Selective T-type Calcium Channel Blocker as a Drug Candidate for the Treatment of Generalized Epilepsies.",93
123160,CHEMBL5113525,1,"Discovery of the Novel 1<i>H</i>-Pyrrolo[2,3-<i>b</i>]pyridine Derivative as a Potent Type II CDK8 Inhibitor against Colorectal Cancer.",93
115717,CHEMBL4602732,3,Optimizing Pyrazolopyrimidine Inhibitors of Calcium Dependent Protein Kinase 1 for Treatment of Acute and Chronic Toxoplasmosis.,92
128873,CHEMBL5500428,1,"Identification of 6-Anilino Imidazo[4,5-<i>c</i>]pyridin-2-ones as Selective DNA-Dependent Protein Kinase Inhibitors and Their Application as Radiosensitizers.",92
121325,CHEMBL4842348,1,"Invention of MK-8262, a Cholesteryl Ester Transfer Protein (CETP) Inhibitor Backup to Anacetrapib with Best-in-Class Properties.",89
