doc_id,doc_chembl_id,molregno,compound_chembl_id,compound_type,assay_count,canonical_smiles
37919,CHEMBL1140586,416886,CHEMBL250403,local,34,CCCN1CCO[C@H](c2cccc(O)c2)C1
37919,CHEMBL1140586,3854,CHEMBL53,reference,3,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
37919,CHEMBL1140586,19316,CHEMBL589,reference,3,CCCN(CCC)CCc1cccc2c1CC(=O)N2
37919,CHEMBL1140586,88815,CHEMBL301265,reference,3,CCCN[C@H]1CCc2nc(N)sc2C1
37919,CHEMBL1140586,259724,CHEMBL155731,local,3,CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21
37919,CHEMBL1140586,416809,CHEMBL250002,local,3,CCCN1CCO[C@H](c2ccc(F)c(O)c2)C1
37919,CHEMBL1140586,416811,CHEMBL250003,local,3,CCCN1CCO[C@H](c2cc(O)cc(O)c2)C1
37919,CHEMBL1140586,170003,CHEMBL101480,local,2,CCCN1CCOC(c2cccc(OC)c2)C1
37919,CHEMBL1140586,170033,CHEMBL105646,local,2,CCCN1CCOC(c2cccc(Cl)c2)C1
37919,CHEMBL1140586,170396,CHEMBL102463,local,2,CCCN1CCOC(c2cccc(O)c2)C1
37919,CHEMBL1140586,416724,CHEMBL401328,local,2,Oc1cccc(C2CNCCO2)c1
37919,CHEMBL1140586,416725,CHEMBL251215,local,2,CCN1CCOC(c2cccc(O)c2)C1
37919,CHEMBL1140586,416726,CHEMBL398480,local,2,C=CCN1CCOC(c2cccc(O)c2)C1
37919,CHEMBL1140586,416727,CHEMBL251216,local,2,CC(=O)NCCCCN1CCOC(c2cccc(O)c2)C1
37919,CHEMBL1140586,416728,CHEMBL398694,local,2,COCCN1CCOC(c2cccc(O)c2)C1
37919,CHEMBL1140586,416730,CHEMBL250632,local,2,CCCN1CCOC(c2ccccc2)C1
37919,CHEMBL1140586,416731,CHEMBL398696,local,2,CCCN1CCOC(c2cccc(OC(F)(F)F)c2)C1
37919,CHEMBL1140586,416732,CHEMBL400766,local,2,CCCN1CCOC(c2cccc(SC)c2)C1
37919,CHEMBL1140586,416733,CHEMBL250634,local,2,CCCN1CCOC(c2cccc(S(C)(=O)=O)c2)C1
37919,CHEMBL1140586,416734,CHEMBL250635,local,2,CCCN1CCOC(c2cccc(C(=O)OC)c2)C1
37919,CHEMBL1140586,416735,CHEMBL250636,local,2,CCCN1CCOC(c2cccc(C(=O)O)c2)C1
37919,CHEMBL1140586,416736,CHEMBL399967,local,2,CCCN1CCOC(c2cccc(CO)c2)C1
37919,CHEMBL1140586,416737,CHEMBL250829,local,2,CCCN1CCOC(c2cccc(C#N)c2)C1
37919,CHEMBL1140586,416738,CHEMBL250830,local,2,CCCN1CCOC(c2cccc(C(N)=O)c2)C1
37919,CHEMBL1140586,416739,CHEMBL400987,local,2,CCCN1CCOC(c2cccc(N)c2)C1
37919,CHEMBL1140586,416740,CHEMBL250831,local,2,CCCN1CCOC(c2cccc(NS(C)(=O)=O)c2)C1
37919,CHEMBL1140586,416742,CHEMBL251023,local,2,CCCN1CCOC(c2cccc(-c3nnc[nH]3)c2)C1
37919,CHEMBL1140586,416744,CHEMBL400988,local,2,CCCN1CCOC(c2cccc(-c3ncc[nH]3)c2)C1
37919,CHEMBL1140586,416810,CHEMBL401125,local,2,CCCN1CCO[C@@H](c2ccc(F)c(O)c2)C1
37919,CHEMBL1140586,416813,CHEMBL401126,local,2,CCCN1CCO[C@@H](c2cc(O)cc(O)c2)C1
37919,CHEMBL1140586,416887,CHEMBL248595,local,2,CCCN1CCO[C@@H](c2cccc(O)c2)C1
37919,CHEMBL1140586,219334,CHEMBL1215,reference,1,CNC[C@H](O)c1cccc(O)c1
37919,CHEMBL1140586,416746,CHEMBL251025,local,1,CCCN1CCOC(c2cccc(O)c2C)C1
37919,CHEMBL1140586,416748,CHEMBL401157,local,1,CCCN1CCOC(c2ccc(F)c(O)c2)C1
37919,CHEMBL1140586,416752,CHEMBL251040,local,1,CCCN1CCOC(c2ccc(Cl)c(O)c2)C1
37919,CHEMBL1140586,416756,CHEMBL251042,local,1,CCCN1CCOC(c2ccc(CO)c(O)c2)C1
37919,CHEMBL1140586,416761,CHEMBL399892,local,1,CCCN1CCOC(c2cc(O)cc(O)c2)C1
37919,CHEMBL1140586,416765,CHEMBL248970,local,1,CCCN1CCOC(c2cc(O)cc(C#N)c2)C1
37919,CHEMBL1140586,416774,CHEMBL249791,local,1,CCCN1CCOC(c2cc(O)cc(C(N)=O)c2)C1
37919,CHEMBL1140586,416775,CHEMBL249586,local,1,CCCN1CCOC(c2cc(O)ccc2Br)C1
